-912	16560	-312	-4	-6	10	4814
-984	16568	-592	-5	-11	9	4825
-1008	16584	-632	-6	-10	9	4836
-1152	16568	-464	-8	-8	9	4848
-984	16752	-336	-11	-7	11	4859
-1144	16784	-384	-10	-17	13	4870
-968	16648	-440	-11	-19	10	4882
-904	16712	-440	-8	-19	10	4893
-928	16448	-64	-9	-17	8	4904
-1104	16536	-136	-4	-12	10	4922
-1176	16624	-176	-2	-4	13	4931
-1248	16856	-360	7	8	17	4943
-1056	16632	-192	9	12	20	4953
-1072	16616	-384	14	14	20	4965
-1016	16632	-312	17	16	24	4976
-1040	16544	-592	17	18	25	4987
-920	16680	-360	19	17	24	4999
-920	16552	-400	22	17	23	5010
-1064	16592	-608	21	15	20	5021
-840	16600	-776	21	12	20	5033
-976	16632	-608	19	11	20	5044
-1064	16592	-696	15	15	20	5056
-1168	16496	-600	11	13	20	5067
-936	16624	-400	10	13	24	5078
-1000	16736	-592	10	8	23	5090
-1200	16688	-824	4	6	26	5101
-1160	16392	-864	3	0	24	5112
-1104	16528	-952	-3	-6	25	5123
-1104	16496	-1096	-7	-5	25	5135
-976	16576	-600	-14	11	25	5146
-1032	16784	-480	-17	17	17	5157
-1112	16792	-528	-16	2	16	5171
-1040	16840	-720	-20	3	19	5182
-968	16672	-608	-20	-1	22	5193
-1112	16664	-464	-25	-4	21	5204
-1048	16752	-384	-24	7	22	5216
-1192	16632	-216	-17	5	26	5227
-1240	16608	80	-7	-5	31	5238
-1104	16472	416	0	-11	32	5249
-1136	16520	264	16	-3	39	5260
-1184	16744	320	31	15	49	5272
-1368	16568	184	50	21	55	5283
-1200	16552	176	61	27	64	5295
-856	16568	-72	79	50	72	5308
-1192	16520	240	88	71	76	5319
-952	16504	-104	103	74	82	5331
-1016	16664	0	117	44	87	5342
-1008	16664	-112	129	28	91	5354
-1000	16408	-160	135	18	95	5365
-928	16488	-336	141	-10	97	5376
-1048	16528	-544	146	-19	97	5388
-976	16512	-736	154	18	102	5422
-896	16496	-704	160	7	103	5431
-896	16504	-552	164	-7	106	5442
-728	16696	-328	170	-27	108	5454
-752	16592	-528	178	-50	109	5465
-832	16664	-872	187	-64	107	5476
